scenario,instance,solver,total-time,ground-time,solve-time,states
spiky-tireworld,p06,asp-plus-opt-1,5174.369000000001,79.45899999999983,5094.910000000001,23
spiky-tireworld,p06,fondsat-minisat,7894.58194,81.96065386245027,7793.124676,23
spiky-tireworld,p06,asp-opt-4,16227.561,110.37099999999887,16117.190000000002,23
spiky-tireworld,p06,asp-1,35593.361,117.67100000000029,35475.69,23
spiky-tireworld,p06,fondsat-glucose,1246.16086,84.23791285185143,1148.384328,23
spiky-tireworld,p06,asp-opt-1,30952.874,140.39399999999918,30812.479999999996,23
spiky-tireworld,p06,asp-4,29473.765999999992,83.94600000000024,29389.819999999996,23
spiky-tireworld,p06,asp-8,9409.965999999999,75.19600000000051,9334.77,23
spiky-tireworld,p03,asp-opt-8,3473.8170000000005,66.01700000000005,3407.7999999999993,23
spiky-tireworld,p03,asp-plus-opt-1,2204.529,48.22900000000007,2156.3,23
spiky-tireworld,p03,fondsat-minisat,6473.856549,51.539824832230806,6414.29689,23
spiky-tireworld,p03,asp-opt-4,5028.521000000001,71.53099999999998,4956.989999999999,23
spiky-tireworld,p03,asp-1,16292.508,84.9180000000005,16207.59,23
spiky-tireworld,p03,fondsat-glucose,703.354259,59.21448095422238,631.24272,23
spiky-tireworld,p03,asp-opt-1,21194.434,84.73399999999896,21109.7,23
spiky-tireworld,p03,asp-4,10416.264000000001,62.273999999999866,10353.99,23
spiky-tireworld,p03,asp-8,5474.150000000001,59.44000000000016,5414.71,23
spiky-tireworld,p04,asp-opt-8,238.95200000000003,20.041999999999998,218.90999999999997,23
spiky-tireworld,p04,asp-plus-opt-1,188.61700000000002,13.906999999999993,174.71,23
spiky-tireworld,p04,fondsat-minisat,901.518423,18.402395013254136,879.217361,23
spiky-tireworld,p04,asp-opt-4,312.0950000000001,22.445,289.65,23
spiky-tireworld,p04,asp-1,2520.541,25.78099999999996,2494.76,23
spiky-tireworld,p04,fondsat-glucose,152.661171,18.807801948860288,127.366251,23
spiky-tireworld,p04,asp-opt-1,1533.717,23.736999999999966,1509.9800000000002,23
spiky-tireworld,p04,asp-4,610.7230000000001,17.55300000000002,593.1700000000001,23
spiky-tireworld,p04,asp-8,432.688,17.878000000000007,414.81,23
doors,p09,asp-opt-8,65.015,36.495,28.52,21
doors,p09,fondsat-minisat,1337.496277,27.598924754653126,1305.901109,21
