,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
2230,islands,p33,asp1,asp,True,True,10.476553390733898,1.078125,False,False,8
2240,islands,p45,asp1,asp,True,True,67.4620560305193,240.23828125,False,False,10
2250,islands,p28,asp1,asp,True,True,2.896615806035697,0.87109375,False,False,8
2260,islands,p43,asp1,asp,True,True,34.27189342491329,199.46875,False,False,10
2270,islands,p39,asp1,asp,True,True,6.001195563934743,1.078125,False,False,10
2280,islands,p21,asp1,asp,True,True,2.275055049918592,0.96875,False,False,6
2290,islands,p11,asp1,asp,True,True,1.2865926157683134,1.4140625,False,False,4
2300,islands,p55,asp1,asp,True,True,204.31794138159603,346.44140625,False,False,12
2310,islands,p51,asp1,asp,True,True,27.9715225873515,1.07421875,False,False,12
2320,islands,p31,asp1,asp,True,True,6.54774749930948,0.984375,False,False,8
2330,islands,p37,asp1,asp,True,True,2.0098020024597645,1.4765625,False,False,10
2340,islands,p19,asp1,asp,True,True,1.8135309806093567,0.9296875,False,False,6
2350,islands,p04,asp1,asp,True,True,1.0516915870830417,1.08203125,False,False,4
2718,first-responders-ipc08,p06,asp1,asp,True,True,2.444444731809199,1.0859375,False,False,9
2777,first-responders-ipc08,p03,asp1,asp,True,True,1.3761332631111145,1.1328125,False,False,6
2857,first-responders-ipc08,p07,asp1,asp,True,True,6.289789211936295,1.3359375,False,False,10
2874,first-responders-ipc08,p103,asp1,asp,True,True,7677.861689913087,306.55078125,False,False,14
2912,first-responders-ipc08,p08,asp1,asp,True,True,47.5283556682989,77.921875,False,False,11
2943,first-responders-ipc08,p02,asp1,asp,True,True,1.2412211215123534,1.484375,False,False,5
2988,first-responders-ipc08,p10,asp1,asp,True,True,1897.7417698344216,92.66015625,False,False,13
3084,first-responders-ipc08,p05,asp1,asp,True,True,1.559338876977563,1.03515625,False,False,8
3115,first-responders-ipc08,p102,asp1,asp,True,True,6.880007056519389,1.33984375,False,False,7
3132,first-responders-ipc08,p101,asp1,asp,True,True,3.064804883673787,1.0703125,False,False,4
3226,first-responders-ipc08,p04,asp1,asp,True,True,1.3781450157985091,0.921875,False,False,7
3326,spiky-tireworld,p06,asp1,asp,True,True,5285.726909724996,392.9140625,False,False,23
3337,spiky-tireworld,p01,asp1,asp,True,True,1197.185228465125,199.8984375,False,False,23
3348,spiky-tireworld,p03,asp1,asp,True,True,2394.466485371813,271.921875,False,False,23
3359,spiky-tireworld,p07,asp1,asp,True,True,6841.563390006311,449.12890625,False,False,23
3370,spiky-tireworld,p09,asp1,asp,True,True,6818.773524103686,524.3046875,False,False,23
3381,spiky-tireworld,p08,asp1,asp,True,True,6388.839815381914,495.76953125,False,False,23
3392,spiky-tireworld,p02,asp1,asp,True,True,1379.1425999216735,229.6796875,False,False,23
3412,spiky-tireworld,p05,asp1,asp,True,True,4894.666827598587,342.09375,False,False,23
3432,spiky-tireworld,p04,asp1,asp,True,True,188.049166822806,133.61328125,False,False,23
3443,tireworld-truck,p50,asp1,asp,True,True,1162.765423513949,136.08203125,False,False,20
3453,tireworld-truck,p20,asp1,asp,True,True,5.068861711770296,1.109375,False,False,14
3463,tireworld-truck,p35,asp1,asp,True,True,4.383816624060273,0.9921875,False,False,15
3473,tireworld-truck,p48,asp1,asp,True,True,152.37837906647474,126.2265625,False,False,18
3483,tireworld-truck,p22,asp1,asp,True,True,3.8035822827368975,1.10546875,False,False,12
3493,tireworld-truck,p29,asp1,asp,True,True,140.09070413094014,111.44921875,False,False,17
3503,tireworld-truck,p25,asp1,asp,True,True,4.4279743721708655,1.15234375,False,False,12
3513,tireworld-truck,p44,asp1,asp,True,True,22.51021427102387,1.0859375,False,False,15
3523,tireworld-truck,p58,asp1,asp,True,True,3.08479845803231,1.44921875,False,False,14
3533,tireworld-truck,p06,asp1,asp,True,True,1.8242103671655057,1.1796875,False,False,9
3543,tireworld-truck,p66,asp1,asp,True,True,40.14120854437351,136.23046875,False,False,16
3553,tireworld-truck,p01,asp1,asp,True,True,1.4543601153418422,1.59765625,False,False,11
3563,tireworld-truck,p17,asp1,asp,True,True,1.5876391641795635,0.98828125,False,False,12
3573,tireworld-truck,p13,asp1,asp,True,True,9.685917576774957,0.8359375,False,False,14
3583,tireworld-truck,p16,asp1,asp,True,True,1.2004185756668448,1.1171875,False,False,10
3593,tireworld-truck,p72,asp1,asp,True,True,8941.569778725505,194.46875,False,False,23
3603,tireworld-truck,p14,asp1,asp,True,True,10.13381659053266,1.1953125,False,False,14
3613,tireworld-truck,p69,asp1,asp,True,True,71.58248559758067,127.71484375,False,False,17
3623,tireworld-truck,p03,asp1,asp,True,True,1.3538476098328829,1.47265625,False,False,9
3633,tireworld-truck,p18,asp1,asp,True,True,2.06850453093648,0.875,False,False,12
3643,tireworld-truck,p26,asp1,asp,True,True,30.43249404337257,96.19921875,False,False,17
3653,tireworld-truck,p30,asp1,asp,True,True,233.65758148115128,118.0703125,False,False,17
3663,tireworld-truck,p27,asp1,asp,True,True,10.035448035225272,1.09765625,False,False,15
3673,tireworld-truck,p52,asp1,asp,True,True,601.7997289327905,152.13671875,False,False,20
