tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
beam-walk_10.yml	OUT OF MEMORY (false)	576.381905	576.2333157546818	4096.000000	-1	-1	OUT OF MEMORY (false)	1327.888718	1327.7581311278045	4096.000000	-1	-1
beam-walk_11.yml	OUT OF MEMORY (false)	475.860172	475.7171132490039	4096.000000	-1	-1	OUT OF MEMORY (false)	451.161609	450.9807441569865	4096.000000	-1	-1
blocksworld-ipc08_01.yml	true	4.273878	4.283862113952637	111.620096	3.8209667429327965	9	true	1.827291	1.8352520540356636	59.752448	1.391694113612175	9
blocksworld-ipc08_02.yml	true	3.874073	3.884986959397793	111.648768	3.4405445531010628	9	true	1.666245	1.6759334467351437	59.564032	1.2391890808939934	9
blocksworld-ipc08_03.yml	true	5.309777	5.317473813891411	127.954944	4.891560923308134	10	true	2.479786	2.4880031794309616	63.643648	2.050313375890255	10
blocksworld-ipc08_04.yml	true	73.560075	73.5753471404314	211.304448	73.14504482969642	14	true	35.271083	35.28382592648268	83.664896	34.838431630283594	14
blocksworld-ipc08_05.yml	true	24.358568	24.37136434391141	187.887616	23.879915438592434	13	true	14.287785	14.29665294289589	77.770752	13.883113943040371	13
blocksworld-ipc08_06.yml	true	9.275582	9.287226676940918	145.174528	8.852474246174097	11	true	4.574555	4.58354501798749	67.883008	4.14612540230155	11
blocksworld-ipc08_07.yml	true	23.85458	23.866718605160713	187.826176	23.42848290130496	13	true	15.689205	15.700158689171076	77.885440	15.247894201427698	13
blocksworld-ipc08_08.yml	true	24.474025	24.488184347748756	187.924480	24.01210370287299	13	true	19.21217	19.2230625115335	77.828096	18.781115494668484	13
blocksworld-ipc08_09.yml	true	3.903574	3.914382580667734	111.779840	3.4689748510718346	9	true	1.790026	1.7988481484353542	59.715584	1.3506849966943264	9
blocksworld-ipc08_10.yml	true	8.307041	8.317766916006804	145.182720	7.853393834084272	11	true	3.435021	3.4446953535079956	68.096000	3.0180285274982452	11
blocksworld-ipc08_11.yml	TIMEOUT (false)	14400.4428	14401.00527587533	1929.146368	-1	-1	TIMEOUT (false)	14400.384631	14401.003910902888	485.605376	-1	-1
blocksworld-ipc08_12.yml	TIMEOUT (false)	14400.489578	14401.004861425608	1930.440704	-1	-1	TIMEOUT (false)	14400.42528	14401.004729505628	530.153472	-1	-1
blocksworld-ipc08_13.yml	TIMEOUT (false)	14400.465785	14401.004423767328	1737.134080	-1	-1	false	14397.078884	14401.286729857326	438.910976	14400.671404216439	-1
blocksworld-ipc08_14.yml	TIMEOUT (false)	14400.444129	14401.003554232419	1735.786496	-1	-1	TIMEOUT (false)	14400.433201	14401.004050977528	484.847616	-1	-1
blocksworld-ipc08_15.yml	TIMEOUT (false)	14400.323172	14401.200758505613	1930.371072	14400.663421895355	-1	TIMEOUT (false)	14400.418211	14401.004073895514	530.198528	-1	-1
blocksworld-ipc08_16.yml	false	14397.093229	14401.285260681063	2187.853824	14400.678937699646	-1	TIMEOUT (false)	14400.447421	14401.004094284028	529.805312	-1	-1
blocksworld-ipc08_17.yml	TIMEOUT (false)	14400.488472	14401.004002928734	1930.412032	-1	-1	TIMEOUT (false)	14400.341986	14401.005147960037	528.048128	-1	-1
blocksworld-ipc08_18.yml	TIMEOUT (false)	14400.319866	14401.221142407507	1736.015872	14400.675599053502	-1	TIMEOUT (false)	14400.450399	14401.004395458847	438.591488	-1	-1
blocksworld-ipc08_19.yml	TIMEOUT (false)	14400.496523	14401.004121918231	1930.162176	-1	-1	TIMEOUT (false)	14400.337982	14401.00493729487	530.251776	-1	-1
blocksworld-ipc08_20.yml	TIMEOUT (false)	14400.350126	14401.004473712295	1736.114176	-1	-1	TIMEOUT (false)	14400.43034	14401.005282521248	486.719488	-1	-1
blocksworld-ipc08_21.yml	OUT OF MEMORY (false)	2567.871068	2567.7746421694756	4096.000000	-1	-1	false	14398.130648	14402.445510230958	1324.183552	14401.919860832393	-1
blocksworld-ipc08_22.yml	OUT OF MEMORY (false)	2070.813864	2070.7178666442633	4096.000000	-1	-1	TIMEOUT (false)	14400.465414	14401.004605412483	1460.699136	-1	-1
blocksworld-ipc08_23.yml	OUT OF MEMORY (false)	2742.774545	2742.677492391318	4096.000000	-1	-1	TIMEOUT (false)	14400.473011	14401.00415775925	1462.935552	-1	-1
blocksworld-ipc08_24.yml	OUT OF MEMORY (false)	2813.950874	2814.568964459002	4096.000000	-1	-1	TIMEOUT (false)	14400.374564	14401.004529699683	1331.838976	-1	-1
blocksworld-ipc08_25.yml	OUT OF MEMORY (false)	2350.919299	2350.790493644774	4096.000000	-1	-1	TIMEOUT (false)	14400.365336	14401.005240783095	1477.799936	-1	-1
blocksworld-ipc08_26.yml	OUT OF MEMORY (false)	2476.277266	2476.201456975192	4096.000000	-1	-1	TIMEOUT (false)	14400.499644	14401.00452355668	1325.858816	-1	-1
blocksworld-ipc08_27.yml	OUT OF MEMORY (false)	2784.274781	2784.1838324964046	4096.000000	-1	-1	TIMEOUT (false)	14400.449156	14401.004632040858	1463.128064	-1	-1
blocksworld-ipc08_28.yml	OUT OF MEMORY (false)	2507.342076	2507.2895833291113	4096.000000	-1	-1	TIMEOUT (false)	14400.434738	14401.004040006548	1496.084480	-1	-1
blocksworld-ipc08_29.yml	OUT OF MEMORY (false)	2758.15877	2758.1121328659356	4096.000000	-1	-1	false	14398.015067	14402.4737377204	1327.104000	14401.947982732207	-1
blocksworld-ipc08_30.yml	OUT OF MEMORY (false)	2852.138628	2852.7976759821177	4096.000000	-1	-1	TIMEOUT (false)	14400.466882	14401.005206551403	1331.126272	-1	-1
blocksworld-new_1.yml	true	0.709814	0.7190680094063282	47.349760	0.23112281039357185	5	true	0.646226	0.6569604687392712	47.357952	0.16936713829636574	5
