tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
earth_observation_22.yml	false	14396.461276	14400.776885624975	182.595584	14400.183328066021	-1	TIMEOUT (false)	14400.073389	14400.737210422754	152.973312	14400.183159235865	-1
earth_observation_27.yml	TIMEOUT (false)	14400.105712	14400.741511326283	248.852480	14400.174109466374	-1	false	14396.316798	14400.769077751786	147.054592	14400.177815571427	-1
earth_observation_29.yml	true	6802.643498	6802.949568748474	434.188288	6802.477092295885	36	TIMEOUT (false)	14400.085659	14400.71322125569	221.216768	14400.184416968375	-1
earth_observation_30.yml	false	14396.402136	14400.78991579637	440.446976	14400.211030907929	-1	TIMEOUT (false)	14400.146139	14400.752996116877	225.882112	14400.206721842289	-1
earth_observation_32.yml	TIMEOUT (false)	14400.037213	14400.72896880284	391.090176	14400.201056029648	-1	false	14399.789346	14400.732992891222	194.076672	14400.203539792448	-1
earth_observation_35.yml	TIMEOUT (false)	14400.103756	14400.75280868262	516.907008	14400.216593325138	-1	false	14396.433088	14400.8051260449	253.521920	14400.217783614993	-1
earth_observation_36.yml	TIMEOUT (false)	14400.103324	14400.749064996839	299.540480	14400.18334929645	-1	false	14399.724897	14400.737330127507	161.251328	14400.180247671902	-1
earth_observation_38.yml	TIMEOUT (false)	14400.169191	14400.765712030232	423.448576	14400.206829514354	-1	false	14399.889109	14400.757091291249	212.004864	14400.204408984631	-1
earth_observation_39.yml	false	14396.435094	14400.752624627203	547.938304	14400.21056419611	-1	TIMEOUT (false)	14400.120541	14400.770529225469	264.347648	14400.210892725736	-1
elevators_10.yml	TIMEOUT (false)	14400.057386	14400.717608075589	243.707904	14400.177857682109	-1	false	14396.299036	14400.727495267987	127.705088	14400.180559199303	-1
elevators_14.yml	false	14396.375422	14400.71405376494	359.337984	14400.178791314363	-1	TIMEOUT (false)	14400.089617	14400.72913723439	160.329728	14400.186238806695	-1
faults-ipc08_39.yml	TIMEOUT (false)	14400.045599	14400.73079225421	161.611776	14400.185763772577	-1	false	14396.395792	14400.742605693638	136.151040	14400.17918888107	-1
faults-ipc08_44.yml	false	14396.38049	14400.778255619109	310.595584	14400.223937377334	-1	TIMEOUT (false)	14400.113367	14400.77683147788	156.409856	14400.231548856944	-1
faults-ipc08_46.yml	true	10285.74856	10286.180531039834	122.519552	10285.71312462911	23	TIMEOUT (false)	14400.080027	14400.722659062594	123.371520	14400.166422240436	-1
faults-ipc08_49.yml	false	14399.892905	14400.753981277347	208.723968	14400.188216641545	-1	TIMEOUT (false)	14400.073696	14400.748270370066	141.684736	14400.197452448308	-1
faults-ipc08_50.yml	TIMEOUT (false)	14400.219383	14400.82550926879	239.144960	14400.203207608312	-1	false	14399.871313	14400.812004357576	139.378688	14400.201757762581	-1
faults-ipc08_51.yml	false	14399.908419	14400.801804136485	273.129472	14400.214029662311	-1	TIMEOUT (false)	14400.099561	14400.763982135803	145.793024	14400.213805671781	-1
faults-ipc08_53.yml	false	14396.243908	14400.760273106396	339.374080	14400.23096909374	-1	TIMEOUT (false)	14400.18707	14400.801531340927	171.048960	14400.230977173895	-1
