,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
3926,tireworld-truck,p56,CASP-Base,asp,True,True,519.030149737373,156.484375,False,False,18
3936,tireworld-truck,p63,CASP-Base,asp,True,True,18.326355318538845,1.05078125,False,False,16
3946,tireworld-truck,p41,CASP-Base,asp,True,True,9.21333728916943,0.89453125,False,False,15
3956,tireworld-truck,p49,CASP-Base,asp,True,True,115.68714099936189,126.52734375,False,False,18
3966,tireworld-truck,p57,CASP-Base,asp,True,True,148.59732358064502,145.80078125,False,False,18
3976,tireworld-truck,p24,CASP-Base,asp,True,True,4.5812313901260495,1.24609375,False,False,14
3986,tireworld-truck,p07,CASP-Base,asp,True,True,1.372560815885663,0.8984375,False,False,9
3996,tireworld-truck,p09,CASP-Base,asp,True,True,1.8762594182044268,1.61328125,False,False,11
4006,tireworld-truck,p73,CASP-Base,asp,True,True,1103.4238988729194,199.09375,False,False,21
4016,tireworld-truck,p75,CASP-Base,asp,True,True,75.75810087192804,145.66796875,False,False,17
4026,tireworld-truck,p23,CASP-Base,asp,True,True,4.245509134605527,1.58984375,False,False,14
4036,tireworld-truck,p12,CASP-Base,asp,True,True,5.133322010748088,1.05078125,False,False,14
4046,tireworld-truck,p08,CASP-Base,asp,True,True,1.8855521567165847,0.8828125,False,False,11
4056,tireworld-truck,p15,CASP-Base,asp,True,True,12.844265471212566,1.07421875,False,False,14
4066,tireworld-truck,p47,CASP-Base,asp,True,True,59.544257500208914,103.484375,False,False,18
4076,tireworld-truck,p64,CASP-Base,asp,True,True,49.76884632371366,135.61328125,False,False,18
4086,tireworld-truck,p02,CASP-Base,asp,True,True,1.0266055278480053,1.109375,False,False,9
4096,tireworld-truck,p68,CASP-Base,asp,True,True,336.47132532671094,130.6015625,False,False,21
4106,tireworld-truck,p70,CASP-Base,asp,True,True,286.0823829472065,146.69140625,False,False,19
4116,tireworld-truck,p65,CASP-Base,asp,True,True,57.69556040409952,145.96875,False,False,18
4126,tireworld-truck,p38,CASP-Base,asp,True,True,3.1207704497501254,1.421875,False,False,13
4136,tireworld-truck,p60,CASP-Base,asp,True,True,8.438372586853802,0.9375,False,False,16
4146,tireworld-truck,p40,CASP-Base,asp,True,True,13.913186238147318,1.3984375,False,False,17
4156,tireworld-truck,p67,CASP-Base,asp,True,True,69.00802769139409,112.04296875,False,False,19
4166,tireworld-truck,p61,CASP-Base,asp,True,True,4.669595254585147,1.12890625,False,False,14
4176,tireworld-truck,p71,CASP-Base,asp,True,True,824.2100268015638,181.24609375,False,False,21
4186,tireworld-truck,p46,CASP-Base,asp,True,True,10.222330885007976,1.18359375,False,False,16
4196,tireworld-truck,p54,CASP-Base,asp,True,True,54.12384864222258,121.6875,False,False,16
4206,tireworld-truck,p62,CASP-Base,asp,True,True,15.72129166778177,0.8203125,False,False,16
4216,tireworld-truck,p32,CASP-Base,asp,True,True,19.036024883389477,1.3828125,False,False,15
4226,tireworld-truck,p05,CASP-Base,asp,True,True,1.4868487725034356,1.015625,False,False,11
4236,tireworld-truck,p53,CASP-Base,asp,True,True,156.2727186884731,140.609375,False,False,18
4246,tireworld-truck,p59,CASP-Base,asp,True,True,5.21382193826139,0.98828125,False,False,16
4256,tireworld-truck,p34,CASP-Base,asp,True,True,1.7978059323504567,1.4921875,False,False,13
4266,tireworld-truck,p33,CASP-Base,asp,True,True,87.4492112416774,128.98046875,False,False,17
4276,tireworld-truck,p45,CASP-Base,asp,True,True,25.584391104988757,1.078125,False,False,17
4286,tireworld-truck,p28,CASP-Base,asp,True,True,12.174169070087371,0.625,False,False,15
4296,tireworld-truck,p43,CASP-Base,asp,True,True,22.79993703123182,1.02734375,False,False,17
4306,tireworld-truck,p39,CASP-Base,asp,True,True,5.819586105644703,1.4453125,False,False,15
4316,tireworld-truck,p21,CASP-Base,asp,True,True,2.057753035798669,0.8984375,False,False,12
4326,tireworld-truck,p74,CASP-Base,asp,True,True,279.38608377892524,170.88671875,False,False,19
4336,tireworld-truck,p11,CASP-Base,asp,True,True,1.371796908788383,1.43359375,False,False,9
4346,tireworld-truck,p55,CASP-Base,asp,True,True,55.525289081037045,124.5859375,False,False,16
4356,tireworld-truck,p51,CASP-Base,asp,True,True,320.51553994975984,145.40625,False,False,20
4366,tireworld-truck,p31,CASP-Base,asp,True,True,15.876664227806032,1.09765625,False,False,15
4376,tireworld-truck,p37,CASP-Base,asp,True,True,2.462346162647009,1.1328125,False,False,13
4386,tireworld-truck,p19,CASP-Base,asp,True,True,2.642421739175916,1.19921875,False,False,14
4396,tireworld-truck,p04,CASP-Base,asp,True,True,1.2062868122011423,1.0234375,False,False,11
2765,first-responders-ipc08,p06,CASP-KB,asp,True,True,1.637988341972232,1.30078125,False,False,9
2782,first-responders-ipc08,p01,CASP-KB,asp,True,True,0.920035595074296,1.2265625,False,False,5
2848,first-responders-ipc08,p03,CASP-KB,asp,True,True,1.1754239480942488,1.28515625,False,False,6
2956,first-responders-ipc08,p07,CASP-KB,asp,True,True,3.206889070104808,1.1640625,False,False,10
2973,first-responders-ipc08,p09,CASP-KB,asp,True,True,60.64753524214029,87.60546875,False,False,12
2983,first-responders-ipc08,p103,CASP-KB,asp,True,True,10404.130712778307,336.1640625,False,False,14
3021,first-responders-ipc08,p08,CASP-KB,asp,True,True,13.607963571790606,1.25390625,False,False,11
3073,first-responders-ipc08,p02,CASP-KB,asp,True,True,1.129481878131628,1.33203125,False,False,5
3118,first-responders-ipc08,p10,CASP-KB,asp,True,True,247.5307461582124,95.59375,False,False,13
3235,first-responders-ipc08,p05,CASP-KB,asp,True,True,1.210809723008424,1.078125,False,False,8
3280,first-responders-ipc08,p102,CASP-KB,asp,True,True,4.921532255131751,1.0859375,False,False,7
3311,first-responders-ipc08,p101,CASP-KB,asp,True,True,6.631156899034977,0.87109375,False,False,5
3391,first-responders-ipc08,p100,CASP-KB,asp,True,False,1.1083909408189356,1.08984375,False,False,-1
3450,first-responders-ipc08,p04,CASP-KB,asp,True,True,0.9282727078534664,1.23828125,False,False,7
2764,first-responders-ipc08,p06,CASP-Base,asp,True,True,1.6131521668285131,1.05078125,False,False,9
2781,first-responders-ipc08,p01,CASP-Base,asp,True,True,0.9967499189078808,1.4140625,False,False,5
2847,first-responders-ipc08,p03,CASP-Base,asp,True,True,0.8029153170064092,0.97265625,False,False,6
2955,first-responders-ipc08,p07,CASP-Base,asp,True,True,2.550648596137762,1.3828125,False,False,10
2972,first-responders-ipc08,p09,CASP-Base,asp,True,True,71.13166998326778,86.25,False,False,12
2982,first-responders-ipc08,p103,CASP-Base,asp,True,True,14127.96979337372,309.79296875,False,False,14
3020,first-responders-ipc08,p08,CASP-Base,asp,True,True,18.87053235899657,1.66796875,False,False,11
3072,first-responders-ipc08,p02,CASP-Base,asp,True,True,1.039597239345312,1.1640625,False,False,5
3117,first-responders-ipc08,p10,CASP-Base,asp,True,True,350.44114848505706,96.4453125,False,False,13
3234,first-responders-ipc08,p05,CASP-Base,asp,True,True,1.0719961542636156,1.16015625,False,False,8
3279,first-responders-ipc08,p102,CASP-Base,asp,True,True,2.8858836917206645,1.05078125,False,False,7
3310,first-responders-ipc08,p101,CASP-Base,asp,True,True,2.3368497537449,0.99609375,False,False,5
3390,first-responders-ipc08,p100,CASP-Base,asp,True,False,1.0750759821385143,1.08203125,False,False,-1
3449,first-responders-ipc08,p04,CASP-Base,asp,True,True,1.1264841314405205,1.71875,False,False,7
1786,islands,p50,CASP-KB,asp,True,True,11.996432460378855,1.10546875,False,False,12
1796,islands,p20,CASP-KB,asp,True,True,2.137397811282426,1.171875,False,False,6
1806,islands,p35,CASP-KB,asp,True,True,12.611431448720396,1.15625,False,False,8
1816,islands,p48,CASP-KB,asp,True,True,58.858168551232666,849.9453125,False,False,10
1826,islands,p22,CASP-KB,asp,True,True,2.8711244170553982,1.11328125,False,False,6
1836,islands,p29,CASP-KB,asp,True,True,3.832871356979013,1.3203125,False,False,8
1846,islands,p25,CASP-KB,asp,True,True,1.1950524598360062,0.86328125,False,False,8
1856,islands,p44,CASP-KB,asp,True,True,26.50785840395838,0.890625,False,False,10
1866,islands,p58,CASP-KB,asp,True,True,125.04268736112864,1127.98046875,False,False,12
1876,islands,p06,CASP-KB,asp,True,True,1.1162513471208513,0.921875,False,False,5
1886,islands,p01,CASP-KB,asp,True,True,0.9753931569866836,0.890625,False,False,5
1896,islands,p17,CASP-KB,asp,True,True,1.3838570560328662,1.21875,False,False,6
1906,islands,p13,CASP-KB,asp,True,True,0.9979472132399678,1.12890625,False,False,6
1916,islands,p16,CASP-KB,asp,True,True,1.206792983226478,1.109375,False,False,6
1926,islands,p14,CASP-KB,asp,True,True,1.0774643756449225,1.296875,False,False,6
1936,islands,p03,CASP-KB,asp,True,True,1.0009839539416134,1.28125,False,False,5
1946,islands,p18,CASP-KB,asp,True,True,1.69673346914351,0.9453125,False,False,6
1956,islands,p26,CASP-KB,asp,True,True,1.8386469352990389,1.2890625,False,False,8
1966,islands,p30,CASP-KB,asp,True,True,5.242079559713602,1.18359375,False,False,8
1976,islands,p27,CASP-KB,asp,True,True,2.357741732615977,1.22265625,False,False,8
1986,islands,p52,CASP-KB,asp,True,True,31.910850283224136,247.3984375,False,False,12
1996,islands,p42,CASP-KB,asp,True,True,17.842909111175686,0.88671875,False,False,10
2006,islands,p36,CASP-KB,asp,True,True,13.743314302992076,0.75390625,False,False,8
2016,islands,p56,CASP-KB,asp,True,True,103.68231057329103,1174.8984375,False,False,12
2026,islands,p41,CASP-KB,asp,True,True,12.894927341025324,1.09765625,False,False,10
2036,islands,p49,CASP-KB,asp,True,True,4.27739932294935,1.1171875,False,False,12
2046,islands,p57,CASP-KB,asp,True,True,137.86116118822247,824.6328125,False,False,12
2056,islands,p24,CASP-KB,asp,True,True,4.025606667157263,1.08203125,False,False,6
2066,islands,p07,CASP-KB,asp,True,True,1.191949469037354,1.23046875,False,False,5
2076,islands,p09,CASP-KB,asp,True,True,1.3645907351747155,1.28125,False,False,5
2086,islands,p23,CASP-KB,asp,True,True,3.4603834240697324,1.28125,False,False,6
2096,islands,p12,CASP-KB,asp,True,True,1.4050411889329553,1.1328125,False,False,5
2106,islands,p08,CASP-KB,asp,True,True,1.1458541071042418,1.0546875,False,False,5
2116,islands,p15,CASP-KB,asp,True,True,1.1397104910574851,0.89453125,False,False,6
2126,islands,p47,CASP-KB,asp,True,True,50.07926857890561,151.9375,False,False,10
2136,islands,p02,CASP-KB,asp,True,True,0.9252777840010822,0.69140625,False,False,5
2146,islands,p10,CASP-KB,asp,True,True,1.2833236907608807,1.3046875,False,False,5
2156,islands,p38,CASP-KB,asp,True,True,4.049953852780163,1.10546875,False,False,10
2166,islands,p60,CASP-KB,asp,True,True,200.86432969430464,1495.1484375,False,False,12
2176,islands,p40,CASP-KB,asp,True,True,9.008370601106437,0.87890625,False,False,10
2186,islands,p46,CASP-KB,asp,True,True,40.75433307187632,129.52734375,False,False,10
2196,islands,p54,CASP-KB,asp,True,True,60.84841967001557,336.04296875,False,False,12
2206,islands,p32,CASP-KB,asp,True,True,7.770663348957896,1.16796875,False,False,8
2216,islands,p05,CASP-KB,asp,True,True,1.06794941611588,0.90625,False,False,5
2226,islands,p53,CASP-KB,asp,True,True,42.98701904062182,257.44140625,False,False,12
2236,islands,p59,CASP-KB,asp,True,True,173.65331559395418,1944.99609375,False,False,12
2246,islands,p34,CASP-KB,asp,True,True,10.703451110981405,0.71875,False,False,8
2256,islands,p33,CASP-KB,asp,True,True,9.578873082064092,0.6875,False,False,8
2266,islands,p45,CASP-KB,asp,True,True,36.614647834561765,236.07421875,False,False,10
2276,islands,p28,CASP-KB,asp,True,True,2.866387637797743,1.140625,False,False,8
2286,islands,p43,CASP-KB,asp,True,True,22.728287999052554,1.04296875,False,False,10
2296,islands,p39,CASP-KB,asp,True,True,6.157042284030467,0.7578125,False,False,10
2306,islands,p21,CASP-KB,asp,True,True,2.49908036692068,0.921875,False,False,6
2316,islands,p11,CASP-KB,asp,True,True,1.4399362509138882,1.0859375,False,False,5
2326,islands,p55,CASP-KB,asp,True,True,82.95112984394655,333.59765625,False,False,12
2336,islands,p51,CASP-KB,asp,True,True,19.95256821298972,0.83984375,False,False,12
2346,islands,p31,CASP-KB,asp,True,True,6.4641574448905885,0.72265625,False,False,8
2356,islands,p37,CASP-KB,asp,True,True,2.006881420034915,1.23046875,False,False,10
2366,islands,p19,CASP-KB,asp,True,True,1.8323566396720707,1.09765625,False,False,6
2376,islands,p04,CASP-KB,asp,True,True,1.0407649311237035,0.89453125,False,False,5
1785,islands,p50,CASP-Base,asp,True,True,8.674425950273871,0.8984375,False,False,12
1795,islands,p20,CASP-Base,asp,True,True,1.5261676330119371,1.1953125,False,False,6
1805,islands,p35,CASP-Base,asp,True,True,5.029677417129278,1.109375,False,False,8
