,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
393,blocksworld-new,p16,prp-4h,prp,True,True,4.319390532094985,62.515625,False,False,49
399,blocksworld-new,p20,prp-4h,prp,True,True,8.801151151070371,114.78125,False,False,50
405,blocksworld-new,p18,prp-4h,prp,True,True,6.127043495886028,89.11328125,False,False,49
411,blocksworld-new,p27,prp-4h,prp,True,True,25.036343093030155,240.67578125,False,False,69
417,blocksworld-new,p34,prp-4h,prp,True,True,63.394445289857686,481.0078125,False,False,93
423,blocksworld-new,p33,prp-4h,prp,True,True,49.89939270913601,441.70703125,False,False,93
429,blocksworld-new,p32,prp-4h,prp,True,True,44.79439700394869,403.83984375,False,False,78
435,blocksworld-new,p35,prp-4h,prp,True,True,72.61159351002425,522.40234375,False,False,98
440,blocksworld-new,p7,minisat-4h,fondsat,True,True,14143.51542405039,1375.64453125,False,False,17
441,blocksworld-new,p7,prp-4h,prp,True,True,0.4992736128624528,1.14453125,False,False,18
445,blocksworld-new,p7,glucose-4h,fondsat,True,True,842.0746599659324,271.2578125,False,False,17
447,blocksworld-new,p9,prp-4h,prp,True,True,0.7184897200204432,1.078125,False,False,28
452,blocksworld-new,p8,minisat-4h,fondsat,True,True,5260.577208047733,1144.83984375,False,False,17
453,blocksworld-new,p8,prp-4h,prp,True,True,0.4892771870363503,0.91796875,False,False,18
457,blocksworld-new,p8,glucose-4h,fondsat,True,True,838.8727847416885,416.59375,False,False,17
458,blocksworld-new,p6,minisat-4h,fondsat,True,True,49.67139045428485,51.203125,False,False,13
459,blocksworld-new,p6,prp-4h,prp,True,True,0.3599832050967961,0.62890625,False,False,14
463,blocksworld-new,p6,glucose-4h,fondsat,True,True,93.56196433212608,97.3203125,False,False,13
464,blocksworld-new,p1,minisat-4h,fondsat,True,True,0.4966985769569874,1.72265625,False,False,5
465,blocksworld-new,p1,prp-4h,prp,True,True,0.167752947891131,1.1640625,False,False,6
467,blocksworld-new,p1,paladinus-4h,paladinus,True,True,0.4816876749973744,2.1328125,False,False,5
469,blocksworld-new,p1,glucose-4h,fondsat,True,True,0.4138828692957759,1.71484375,False,False,5
471,blocksworld-new,p40,prp-4h,prp,True,True,122.87409197492524,766.7421875,False,False,116
477,blocksworld-new,p22,prp-4h,prp,True,True,11.654613711871209,133.140625,False,False,55
483,blocksworld-new,p25,prp-4h,prp,True,True,17.612373255193233,203.9453125,False,False,70
489,blocksworld-new,p13,prp-4h,prp,True,True,2.165192859014496,45.88671875,False,False,38
495,blocksworld-new,p14,prp-4h,prp,True,True,2.862973832990974,47.30078125,False,False,39
501,blocksworld-new,p15,prp-4h,prp,True,True,3.333933987887576,52.51171875,False,False,35
507,blocksworld-new,p12,prp-4h,prp,True,True,1.5534988471772522,8.18359375,False,False,31
513,blocksworld-new,p24,prp-4h,prp,True,True,17.032802629983053,182.01953125,False,False,61
519,blocksworld-new,p23,prp-4h,prp,True,True,12.557373558869584,159.10546875,False,False,62
525,blocksworld-new,p39,prp-4h,prp,True,True,108.09120552195236,712.4296875,False,False,106
531,blocksworld-new,p30,prp-4h,prp,True,True,37.08987195789814,336.2578125,False,False,82
537,blocksworld-new,p37,prp-4h,prp,True,True,89.03946285392158,611.796875,False,False,97
543,blocksworld-new,p36,prp-4h,prp,True,True,81.22421604278497,566.2421875,False,False,95
549,blocksworld-new,p31,prp-4h,prp,True,True,38.261441440088674,370.0703125,False,False,79
555,blocksworld-new,p38,prp-4h,prp,True,True,98.85226915893143,658.25,False,False,102
561,beam-walk,p10,prp-4h,prp,True,True,23.316761228023097,39.80859375,False,False,4097
567,beam-walk,p11,prp-4h,prp,True,True,77.4335183298681,60.1796875,False,False,8193
573,beam-walk,p05,prp-4h,prp,True,True,4.466614092001692,10.41015625,False,False,129
575,beam-walk,p05,paladinus-4h,paladinus,True,True,0.5962443260941654,0.71875,False,False,128
578,beam-walk,p02,minisat-4h,fondsat,True,True,4.938808146864176,1.49609375,False,False,16
