tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
blocksworld-ipc08_10.yml	true	8.719654	8.730984389781952	145.006592	8.267631888389587	11	true	3.584939	3.5942121520638466	68.055040	3.14626651071012	11	false	0.4597	0.46655025891959667	38.985728	-1	-1	false	0.426012	0.43305201083421707	39.161856	-1	-1
blocksworld-ipc08_11.yml	TIMEOUT (false)	14400.464155	14401.006786759943	1928.269824	-1	-1	TIMEOUT (false)	14400.403109	14401.004032028839	485.588992	-1	-1	false	0.468325	0.5076730623841286	39.129088	-1	-1	false	0.440305	0.44672517478466034	39.141376	-1	-1
blocksworld-ipc08_12.yml	TIMEOUT (false)	14400.509538	14401.004896756262	1929.326592	-1	-1	TIMEOUT (false)	14400.398641	14401.002959921956	530.243584	14400.632549650967	-1	false	0.44999	0.4632951095700264	38.989824	-1	-1	false	0.418185	0.4247631635516882	39.161856	-1	-1
blocksworld-ipc08_13.yml	TIMEOUT (false)	14400.500496	14401.004358384758	1735.946240	-1	-1	false	14396.766504	14401.21975629963	439.902208	14400.664706688374	-1	false	0.443857	0.453698443248868	38.977536	-1	-1	false	0.433937	0.4438214208930731	38.969344	-1	-1
blocksworld-ipc08_14.yml	TIMEOUT (false)	14400.484234	14401.004307422787	1736.749056	-1	-1	TIMEOUT (false)	14400.093622	14401.004354039207	484.868096	-1	-1	false	0.459058	0.4681832194328308	38.998016	-1	-1	false	0.425246	0.43249736726284027	38.965248	-1	-1
blocksworld-ipc08_15.yml	TIMEOUT (false)	14400.440806	14401.00467551127	1930.366976	-1	-1	TIMEOUT (false)	14400.425674	14401.003733336926	530.190336	-1	-1	false	0.44833	0.45641753636300564	38.993920	-1	-1	false	0.426121	0.43268128857016563	38.993920	-1	-1
blocksworld-ipc08_16.yml	false	14397.063195	14401.338749095798	2187.784192	14400.688961511478	-1	TIMEOUT (false)	14400.124825	14401.003969607875	530.243584	-1	-1	false	0.453581	0.47147577069699764	39.133184	-1	-1	false	0.440812	0.4481223952025175	38.973440	-1	-1
blocksworld-ipc08_17.yml	TIMEOUT (false)	14400.485165	14401.004702808335	1928.351744	-1	-1	TIMEOUT (false)	14400.382488	14401.004803340882	528.617472	-1	-1	false	0.456853	0.46380707062780857	38.985728	-1	-1	false	0.425538	0.43359220400452614	38.981632	-1	-1
blocksworld-ipc08_18.yml	TIMEOUT (false)	14400.443655	14401.005009520799	1736.036352	-1	-1	TIMEOUT (false)	14400.399393	14401.003866447136	439.648256	-1	-1	false	0.443842	0.45077420957386494	38.998016	-1	-1	false	0.43696	0.4464925806969404	39.047168	-1	-1
blocksworld-ipc08_19.yml	TIMEOUT (false)	14400.441477	14401.005282228813	1930.084352	-1	-1	TIMEOUT (false)	14400.483187	14401.003983080387	531.337216	-1	-1	false	0.456766	0.46437335200607777	38.965248	-1	-1	false	0.430111	0.4370128232985735	38.985728	-1	-1
blocksworld-ipc08_20.yml	TIMEOUT (false)	14400.505501	14401.004571270198	1735.938048	-1	-1	TIMEOUT (false)	14400.442785	14401.003246096894	486.588416	-1	-1	false	0.437664	0.4453553892672062	38.969344	-1	-1	false	0.443993	0.4505649767816067	39.157760	-1	-1
blocksworld-ipc08_21.yml	OUT OF MEMORY (false)	2754.946558	2754.8768723029643	4096.000000	-1	-1	false	14398.326337	14402.57473021932	1322.311680	14401.98582668975	-1	false	0.439901	0.45565896667540073	39.133184	-1	-1	false	0.429088	0.4359961524605751	38.985728	-1	-1
blocksworld-ipc08_22.yml	OUT OF MEMORY (false)	2174.104563	2174.037049284205	4096.000000	-1	-1	TIMEOUT (false)	14400.462026	14401.004242729396	1464.897536	-1	-1	false	0.438284	0.44630248844623566	38.989824	-1	-1	false	0.4319	0.43955517560243607	38.993920	-1	-1
blocksworld-ipc08_23.yml	OUT OF MEMORY (false)	2867.111982	2867.0289942659438	4096.000000	-1	-1	TIMEOUT (false)	14400.413039	14401.003305368125	1463.119872	-1	-1	false	0.461048	0.46928704530000687	38.977536	-1	-1	false	0.488837	0.49721035175025463	38.993920	-1	-1
blocksworld-ipc08_24.yml	OUT OF MEMORY (false)	2935.965441	2936.630453163758	4096.000000	-1	-1	TIMEOUT (false)	14400.448254	14401.004186205566	1328.893952	-1	-1	false	0.432114	0.4407302103936672	38.973440	-1	-1	false	0.437513	0.44583564437925816	39.137280	-1	-1
blocksworld-ipc08_25.yml	OUT OF MEMORY (false)	2425.859613	2425.665207028389	4096.000000	-1	-1	TIMEOUT (false)	14400.430023	14401.004981765524	1477.521408	-1	-1	false	0.448552	0.4572706241160631	38.969344	-1	-1	false	0.436465	0.45035513304173946	39.096320	-1	-1
blocksworld-ipc08_26.yml	OUT OF MEMORY (false)	2645.970762	2645.932627690956	4096.000000	-1	-1	TIMEOUT (false)	14400.423774	14401.003835557029	1325.551616	-1	-1	false	0.454153	0.4684377107769251	39.149568	-1	-1	false	0.444993	0.45142390951514244	39.190528	-1	-1
blocksworld-ipc08_27.yml	OUT OF MEMORY (false)	3148.881102	3148.7777529098094	4096.000000	-1	-1	TIMEOUT (false)	14400.562716	14401.004207015038	1467.719680	-1	-1	false	0.432073	0.44576302357017994	38.989824	-1	-1	false	0.435593	0.4434093739837408	38.998016	-1	-1
