domain,instance,configuration,time,choices,conflicts,restarts,constraints,variables,sat,iteration
beam-walk,p03,asp-5,0.08,3336,860,7,84820,21074,0,17
beam-walk,p03,asp-5,0.04,1607,441,4,74491,18677,0,16
beam-walk,p03,asp-2,0.0,0,1,0,0,79,0,1
beam-walk,p03,asp-2,24.97,725554,75223,253,188741,41004,0,27
beam-walk,p03,asp-2,8.48,351502,40463,127,173430,38019,0,26
beam-walk,p03,asp-2,0.0,0,1,0,0,247,0,2
beam-walk,p03,asp-2,3.31,228473,16030,62,145085,32388,0,24
beam-walk,p03,asp-2,112.33,2099005,292361,827,239408,50637,0,30
beam-walk,p03,asp-2,0.12,16536,1152,9,77186,18207,0,18
beam-walk,p03,asp-2,0.25,30193,2128,14,86805,20288,0,19
beam-walk,p03,asp-2,1.44,143098,6203,30,257925,54074,1,31
beam-walk,p03,asp-2,5.1,279515,25452,94,158883,35147,0,25
beam-walk,p03,asp-2,0.0,0,1,0,6,606,0,3
beam-walk,p03,asp-2,0.0,133,42,0,10581,2774,0,7
beam-walk,p03,asp-2,0.43,10165,3744,21,108035,24789,0,21
beam-walk,p03,asp-2,0.43,50658,3270,15,97083,22482,0,20
beam-walk,p03,asp-2,0.0,133,33,0,7698,2049,0,6
beam-walk,p03,asp-2,0.0,57,25,0,3313,938,0,4
beam-walk,p03,asp-2,0.78,13316,5215,29,119676,27209,0,22
beam-walk,p03,asp-2,1.35,22705,8840,40,132021,29742,0,23
beam-walk,p03,asp-2,0.0,96,51,0,5281,1437,0,5
beam-walk,p03,asp-2,0.0,138,23,0,13941,3612,0,8
beam-walk,p03,asp-2,0.01,465,140,2,32471,8094,0,12
beam-walk,p03,asp-2,0.02,680,212,2,38451,9497,0,13
beam-walk,p03,asp-2,0.01,275,101,1,17795,4563,0,9
beam-walk,p03,asp-2,0.01,428,95,1,27045,6804,0,11
beam-walk,p03,asp-2,0.01,484,131,1,22158,5627,0,10
beam-walk,p03,asp-2,35.24,984697,115966,358,204831,44102,0,28
beam-walk,p03,asp-2,0.03,2830,264,2,45000,11013,0,14
beam-walk,p03,asp-2,0.03,3769,392,4,52133,12642,0,15
beam-walk,p03,asp-2,59.27,1546990,188208,510,221715,47313,0,29
beam-walk,p03,asp-2,0.11,16757,1084,9,68211,16239,0,17
beam-walk,p03,asp-2,0.05,3819,537,5,59865,14384,0,16
beam-walk,p03,asp-1,0.0,0,1,0,0,72,0,1
beam-walk,p03,asp-1,2.26,27144,14853,62,169450,55247,0,27
beam-walk,p03,asp-1,1.15,15691,7866,34,155556,51317,0,26
beam-walk,p03,asp-1,0.0,0,1,0,34,362,0,2
beam-walk,p03,asp-1,0.68,10314,5587,30,129883,43892,0,24
beam-walk,p03,asp-1,9.7,83711,51860,189,215542,67907,0,30
beam-walk,p03,asp-1,0.09,2264,952,6,68704,25097,0,18
beam-walk,p03,asp-1,0.15,3337,1546,9,77338,27867,0,19
beam-walk,p03,asp-1,10.13,84478,49229,164,232426,72417,1,31
beam-walk,p03,asp-1,0.93,12955,6599,34,142372,47532,0,25
beam-walk,p03,asp-1,0.0,0,1,0,198,947,0,3
beam-walk,p03,asp-1,0.0,43,21,0,9370,4197,0,7
beam-walk,p03,asp-1,0.18,3428,1415,8,96436,33842,0,21
beam-walk,p03,asp-1,0.29,4688,2305,14,86577,30782,0,20
beam-walk,p03,asp-1,0.0,33,20,0,6824,3167,0,6
beam-walk,p03,asp-1,0.0,27,11,0,2951,1542,0,4
beam-walk,p03,asp-1,0.39,6404,3300,21,106930,37047,0,22
beam-walk,p03,asp-1,0.34,6569,2938,16,118074,40397,0,23
beam-walk,p03,asp-1,0.0,55,21,0,4690,2282,0,5
beam-walk,p03,asp-1,0.0,86,35,0,12339,5372,0,8
beam-walk,p03,asp-1,0.01,472,202,2,28765,11522,0,12
beam-walk,p03,asp-1,0.02,396,187,2,34084,13422,0,13
beam-walk,p03,asp-1,0.01,302,96,1,15748,6692,0,9
beam-walk,p03,asp-1,0.01,392,216,2,23946,9767,0,11
beam-walk,p03,asp-1,0.0,316,100,1,19612,8157,0,10
beam-walk,p03,asp-1,2.43,27366,15543,62,184069,59322,0,28
beam-walk,p03,asp-1,0.02,619,301,2,39918,15467,0,14
beam-walk,p03,asp-1,0.03,874,411,3,46282,17657,0,15
beam-walk,p03,asp-1,5.41,41680,25535,100,199428,63542,0,29
beam-walk,p03,asp-1,0.06,1729,721,6,60660,22472,0,17
beam-walk,p03,asp-1,0.04,1312,591,5,53191,19992,0,16
beam-walk,p03,asp-6,0.0,0,1,0,0,71,0,1
beam-walk,p03,asp-6,3.07,21664,13150,61,245098,68407,0,27
