scenario,instance,solver,total-time,ground-time,solve-time,iteration
spiky-tireworld,p11,asp-8,32893.89,24.529999999998836,32869.36,21
spiky-tireworld,p11,asp-8,1.263,1.1529999999999998,0.11,3
spiky-tireworld,p11,asp-8,4.584,3.3139999999999996,1.27,8
spiky-tireworld,p11,asp-8,37.855,7.344999999999995,30.51,13
spiky-tireworld,p10,asp-1,0.494,0.484,0.01,2
spiky-tireworld,p10,asp-1,7.293,3.673,3.62,10
spiky-tireworld,p10,asp-1,2708.669,13.148999999999887,2695.52,17
spiky-tireworld,p10,asp-1,9.84,4.14,5.7,11
spiky-tireworld,p10,asp-1,38.009,4.969000000000001,33.04,12
spiky-tireworld,p10,asp-1,1167.841,9.430999999999813,1158.41,16
spiky-tireworld,p10,asp-1,1.05,1.02,0.03,4
spiky-tireworld,p10,asp-1,15792.493,14.302999999999884,15778.19,19
spiky-tireworld,p10,asp-1,2.086,1.916,0.17,7
spiky-tireworld,p10,asp-1,3.55,2.84,0.71,9
spiky-tireworld,p10,asp-1,210.308,6.437999999999988,203.87,14
spiky-tireworld,p10,asp-1,1.234,1.174,0.06,5
spiky-tireworld,p10,asp-1,528.727,8.197000000000003,520.53,15
spiky-tireworld,p10,asp-1,0.265,0.265,0.0,1
spiky-tireworld,p10,asp-1,1.609,1.529,0.08,6
spiky-tireworld,p10,asp-1,6407.383,11.162999999999556,6396.22,18
spiky-tireworld,p10,asp-1,54611.178,15.427999999999884,54595.75,20
spiky-tireworld,p10,asp-1,0.753,0.743,0.01,3
spiky-tireworld,p10,asp-1,2.593,2.363,0.23,8
spiky-tireworld,p10,asp-1,91.356,5.975999999999999,85.38,13
spiky-tireworld,p10,asp-4,0.58,0.5299999999999999,0.05,2
spiky-tireworld,p10,asp-4,6.597,4.487,2.11,10
spiky-tireworld,p10,asp-4,2347.342,11.532000000000153,2335.81,17
spiky-tireworld,p10,asp-4,15.38,5.970000000000001,9.41,11
spiky-tireworld,p10,asp-4,20.032,5.452,14.58,12
spiky-tireworld,p10,asp-4,750.41,14.740000000000009,735.67,16
spiky-tireworld,p10,asp-4,1.322,1.272,0.05,4
spiky-tireworld,p10,asp-4,23991.029,18.278999999998632,23972.75,19
spiky-tireworld,p10,asp-4,4.538,3.7180000000000004,0.82,7
spiky-tireworld,p10,asp-4,7.914,5.754,2.16,9
spiky-tireworld,p10,asp-4,122.874,8.97399999999999,113.9,14
spiky-tireworld,p10,asp-4,1.363,1.2429999999999999,0.12,5
spiky-tireworld,p10,asp-4,288.431,10.940999999999974,277.49,15
spiky-tireworld,p10,asp-4,0.265,0.265,0.0,1
spiky-tireworld,p10,asp-4,2.645,2.445,0.2,6
spiky-tireworld,p10,asp-4,6498.961,13.851000000000568,6485.11,18
spiky-tireworld,p10,asp-4,50415.482,26.4120000000039,50389.07,20
spiky-tireworld,p10,asp-4,0.789,0.759,0.03,3
spiky-tireworld,p10,asp-4,7.087,5.526999999999999,1.56,8
spiky-tireworld,p10,asp-4,55.989,11.509,44.48,13
acrobatics,p05,fondsat-minisat,0.28124099999999996,0.198817,0.082424,1
acrobatics,p05,fondsat-minisat,0.46075699999999997,0.308525,0.152232,2
acrobatics,p05,fondsat-minisat,0.704028,0.467409,0.236619,3
acrobatics,p05,fondsat-minisat,0.704516,0.383261,0.321255,4
